cotacaoVenda,dataHoraCotacao,tipoBoletim
"2,99337",2010-01-27 10:30:00.0,Intermediário
"2,99676",2010-01-27 11:00:00.0,Intermediário
"3,00109",2010-01-27 11:30:00.0,Intermediário
"3,00849",2010-01-27 12:00:00.0,Intermediário
"3,0017",2010-01-27 12:30:00.0,Intermediário
"3,0065",2010-01-27 13:00:00.0,Intermediário
"3,01394",2010-01-27 13:30:00.0,Intermediário
"3,01171",2010-01-27 14:00:00.0,Intermediário
"3,01342",2010-01-27 14:30:00.0,Intermediário
"3,00251",2010-01-27 15:00:00.0,Intermediário
"3,00963",2010-01-27 15:30:00.0,Intermediário
"3,0199",2010-01-27 16:00:00.0,Intermediário
"3,00519",2010-01-27 16:30:00.0,Fechamento Interbancário
"2,99274",2010-01-27 17:36:00.0,Fechamento
"3,01626",2010-01-28 09:23:00.0,Abertura
"3,00856",2010-01-28 09:30:00.0,Intermediário
"3,01022",2010-01-28 10:00:00.0,Intermediário
"3,00222",2010-01-28 10:30:00.0,Intermediário
"3,00123",2010-01-28 11:00:00.0,Intermediário
"3,00931",2010-01-28 11:30:00.0,Intermediário
"3,01273",2010-01-28 12:00:00.0,Intermediário
"3,01336",2010-01-28 12:30:00.0,Intermediário
"3,00589",2010-01-28 13:00:00.0,Intermediário
"3,00297",2010-01-28 13:30:00.0,Intermediário
"3,00223",2010-01-28 14:00:00.0,Intermediário
"3,01091",2010-01-28 14:30:00.0,Intermediário
"3,01949",2010-01-28 15:00:00.0,Intermediário
"3,02396",2010-01-28 15:30:00.0,Intermediário
"3,02094",2010-01-28 16:00:00.0,Intermediário
"3,01278",2010-01-28 16:30:00.0,Fechamento Interbancário
"2,99503",2010-01-28 17:35:00.0,Fechamento
"3,02253",2010-01-29 09:20:00.0,Abertura
"3,01586",2010-01-29 09:30:00.0,Intermediário
"3,00493",2010-01-29 10:00:00.0,Intermediário
"3,00486",2010-01-29 10:30:00.0,Intermediário
"3,00622",2010-01-29 11:00:00.0,Intermediário
"3,0055",2010-01-29 11:30:00.0,Intermediário
"2,99629",2010-01-29 12:00:00.0,Intermediário
"2,99932",2010-01-29 12:30:00.0,Intermediário
"2,99286",2010-01-29 13:00:00.0,Intermediário
"3,00057",2010-01-29 13:30:00.0,Intermediário
"2,99338",2010-01-29 14:00:00.0,Intermediário
"2,99306",2010-01-29 14:30:00.0,Intermediário
"3,00122",2010-01-29 15:00:00.0,Intermediário
"3,016",2010-01-29 15:30:00.0,Intermediário
"3,01817",2010-01-29 16:00:00.0,Intermediário
"3,01677",2010-01-29 16:30:00.0,Fechamento Interbancário
"3,00045",2010-01-29 17:34:00.0,Fechamento
"3,00355",2010-02-01 09:21:00.0,Abertura
"2,99759",2010-02-01 09:30:00.0,Intermediário
"2,99973",2010-02-01 10:00:00.0,Intermediário
"2,9962",2010-02-01 10:30:00.0,Intermediário
"2,98929",2010-02-01 11:00:00.0,Intermediário
"2,99508",2010-02-01 11:30:00.0,Intermediário
"3,00655",2010-02-01 12:00:00.0,Intermediário
"2,99578",2010-02-01 12:30:00.0,Intermediário
"2,98444",2010-02-01 13:00:00.0,Intermediário
"2,98043",2010-02-01 13:30:00.0,Intermediário
"2,97558",2010-02-01 14:00:00.0,Intermediário
"2,97469",2010-02-01 14:30:00.0,Intermediário
"2,97327",2010-02-01 15:00:00.0,Intermediário
"2,97678",2010-02-01 15:30:00.0,Intermediário
"2,96605",2010-02-01 16:00:00.0,Intermediário
"2,96846",2010-02-01 16:30:00.0,Fechamento Interbancário
"2,99446",2010-02-01 17:33:00.0,Fechamento
"2,95381",2010-02-02 09:16:00.0,Abertura
"2,94657",2010-02-02 09:30:00.0,Intermediário
"2,93615",2010-02-02 10:00:00.0,Intermediário
"2,94291",2010-02-02 10:30:00.0,Intermediário
"2,94065",2010-02-02 11:00:00.0,Intermediário
"2,94185",2010-02-02 11:30:00.0,Intermediário
"2,94304",2010-02-02 12:00:00.0,Intermediário
"2,94128",2010-02-02 12:30:00.0,Intermediário
"2,93572",2010-02-02 13:00:00.0,Intermediário
"2,9451",2010-02-02 13:30:00.0,Intermediário
"2,93512",2010-02-02 14:00:00.0,Intermediário
"2,9378",2010-02-02 14:30:00.0,Intermediário
"2,92519",2010-02-02 15:00:00.0,Intermediário
"2,92679",2010-02-02 15:30:00.0,Intermediário
"2,9205",2010-02-02 16:00:00.0,Intermediário
"2,92516",2010-02-02 16:30:00.0,Fechamento Interbancário
"2,93523",2010-02-02 17:32:00.0,Fechamento
"2,9216",2010-02-03 09:36:00.0,Abertura
"2,9152",2010-02-03 09:41:00.0,Intermediário
"2,90978",2010-02-03 10:00:00.0,Intermediário
"2,92",2010-02-03 10:30:00.0,Intermediário
"2,92657",2010-02-03 11:00:00.0,Intermediário
"2,93117",2010-02-03 11:30:00.0,Intermediário
"2,93861",2010-02-03 12:00:00.0,Intermediário
"2,93805",2010-02-03 12:30:00.0,Intermediário
"2,93099",2010-02-03 13:00:00.0,Intermediário
"2,93483",2010-02-03 13:30:00.0,Intermediário
"2,94001",2010-02-03 14:00:00.0,Intermediário
"2,93853",2010-02-03 14:30:00.0,Intermediário
"2,94742",2010-02-03 15:00:00.0,Intermediário
"2,94694",2010-02-03 15:30:00.0,Intermediário
"2,9398",2010-02-03 16:00:00.0,Intermediário
"2,93565",2010-02-03 16:30:00.0,Fechamento Interbancário
"2,91925",2010-02-03 17:35:00.0,Fechamento
"2,9634",2010-02-04 09:25:00.0,Abertura
"2,96262",2010-02-04 09:30:00.0,Intermediário
"2,96391",2010-02-04 10:00:00.0,Intermediário
"2,95638",2010-02-04 10:30:00.0,Intermediário
"2,95369",2010-02-04 11:00:00.0,Intermediário
"2,95705",2010-02-04 11:30:00.0,Intermediário
"2,96339",2010-02-04 12:00:00.0,Intermediário
"2,96098",2010-02-04 12:30:00.0,Intermediário
"2,96076",2010-02-04 13:00:00.0,Intermediário
"2,96609",2010-02-04 13:30:00.0,Intermediário
"2,96534",2010-02-04 14:00:00.0,Intermediário
"2,9822",2010-02-04 14:30:00.0,Intermediário
"2,9766",2010-02-04 15:00:00.0,Intermediário
"2,9753",2010-02-04 15:30:00.0,Intermediário
"2,97884",2010-02-04 16:00:00.0,Intermediário
"2,97408",2010-02-04 16:30:00.0,Fechamento Interbancário
"2,95435",2010-02-04 17:33:00.0,Fechamento
"2,96152",2010-02-05 09:26:00.0,Abertura
"2,96117",2010-02-05 09:30:00.0,Intermediário
"2,95501",2010-02-05 10:00:00.0,Intermediário
"2,94668",2010-02-05 10:30:00.0,Intermediário
"2,95401",2010-02-05 11:00:00.0,Intermediário
"2,94608",2010-02-05 11:30:00.0,Intermediário
"2,93128",2010-02-05 12:00:00.0,Intermediário
"2,9357",2010-02-05 12:30:00.0,Intermediário
"2,93393",2010-02-05 13:00:00.0,Intermediário
"2,9357",2010-02-05 13:30:00.0,Intermediário
"2,93681",2010-02-05 14:00:00.0,Intermediário
"2,94",2010-02-05 14:30:00.0,Intermediário
"2,94158",2010-02-05 15:00:00.0,Intermediário
"2,94204",2010-02-05 15:30:00.0,Intermediário
"2,94296",2010-02-05 16:00:00.0,Intermediário
"2,95261",2010-02-05 16:30:00.0,Fechamento Interbancário
"2,92809",2010-02-05 17:35:00.0,Fechamento
"2,9263",2010-02-08 09:24:00.0,Abertura
"2,91842",2010-02-08 09:30:00.0,Intermediário
"2,93339",2010-02-08 10:00:00.0,Intermediário
"2,9354",2010-02-08 10:30:00.0,Intermediário
"2,93081",2010-02-08 11:00:00.0,Intermediário
"2,93605",2010-02-08 11:30:00.0,Intermediário
"2,9297",2010-02-08 12:00:00.0,Intermediário
"2,91828",2010-02-08 12:30:00.0,Intermediário
"2,92481",2010-02-08 13:00:00.0,Intermediário
"2,92793",2010-02-08 13:30:00.0,Intermediário
"2,92533",2010-02-08 14:00:00.0,Intermediário
"2,92073",2010-02-08 14:30:00.0,Intermediário
"2,92178",2010-02-08 15:00:00.0,Intermediário
"2,91814",2010-02-08 15:30:00.0,Intermediário
"2,92636",2010-02-08 16:00:00.0,Intermediário
"2,92779",2010-02-08 16:30:00.0,Fechamento Interbancário
"2,92623",2010-02-08 17:33:00.0,Fechamento
"2,91804",2010-02-09 09:21:00.0,Abertura
"2,91398",2010-02-09 09:30:00.0,Intermediário
"2,90741",2010-02-09 10:00:00.0,Intermediário
"2,90332",2010-02-09 10:30:00.0,Intermediário
"2,90612",2010-02-09 11:00:00.0,Intermediário
"2,90357",2010-02-09 11:30:00.0,Intermediário
"2,9011",2010-02-09 12:00:00.0,Intermediário
"2,90361",2010-02-09 12:30:00.0,Intermediário
"2,90221",2010-02-09 13:00:00.0,Intermediário
"2,90342",2010-02-09 13:30:00.0,Intermediário
"2,89497",2010-02-09 14:00:00.0,Intermediário
"2,8959",2010-02-09 14:30:00.0,Intermediário
"2,89632",2010-02-09 15:00:00.0,Intermediário
"2,90328",2010-02-09 15:30:00.0,Intermediário
"2,89759",2010-02-09 16:00:00.0,Intermediário
"2,90101",2010-02-09 16:30:00.0,Fechamento Interbancário
"2,91357",2010-02-09 17:38:00.0,Fechamento
"2,89075",2010-02-10 09:16:00.0,Abertura
"2,88182",2010-02-10 09:30:00.0,Intermediário
"2,87919",2010-02-10 10:00:00.0,Intermediário
"2,88097",2010-02-10 10:30:00.0,Intermediário
"2,88548",2010-02-10 11:00:00.0,Intermediário
"2,89073",2010-02-10 11:30:00.0,Intermediário
