cotacaoVenda,dataHoraCotacao,tipoBoletim
"2,53378",2010-02-10 13:00:00.0,Intermediário
"2,53768",2010-02-10 13:30:00.0,Intermediário
"2,544",2010-02-10 14:00:00.0,Intermediário
"2,54783",2010-02-10 14:30:00.0,Intermediário
"2,54951",2010-02-10 15:00:00.0,Intermediário
"2,54715",2010-02-10 15:30:00.0,Intermediário
"2,54281",2010-02-10 16:00:00.0,Intermediário
"2,54228",2010-02-10 16:31:00.0,Fechamento Interbancário
"2,54132",2010-02-10 17:32:00.0,Fechamento
"2,54593",2010-02-11 09:25:00.0,Abertura
"2,54015",2010-02-11 09:30:00.0,Intermediário
"2,53631",2010-02-11 10:00:00.0,Intermediário
"2,5349",2010-02-11 10:30:00.0,Intermediário
"2,53665",2010-02-11 11:00:00.0,Intermediário
"2,53473",2010-02-11 11:30:00.0,Intermediário
"2,54151",2010-02-11 12:00:00.0,Intermediário
"2,53843",2010-02-11 12:30:00.0,Intermediário
"2,53499",2010-02-11 13:00:00.0,Intermediário
"2,53443",2010-02-11 13:30:00.0,Intermediário
"2,53226",2010-02-11 14:00:00.0,Intermediário
"2,53713",2010-02-11 14:30:00.0,Intermediário
"2,52886",2010-02-11 15:00:00.0,Intermediário
"2,53195",2010-02-11 15:30:00.0,Intermediário
"2,53145",2010-02-11 16:00:00.0,Intermediário
"2,53049",2010-02-11 16:30:00.0,Fechamento Interbancário
"2,53267",2010-02-11 17:51:00.0,Fechamento
"2,52794",2010-02-12 09:21:00.0,Abertura
"2,52943",2010-02-12 09:30:00.0,Intermediário
"2,52862",2010-02-12 10:00:00.0,Intermediário
"2,52991",2010-02-12 10:30:00.0,Intermediário
"2,5287",2010-02-12 11:00:00.0,Intermediário
"2,52934",2010-02-12 11:30:00.0,Intermediário
"2,53178",2010-02-12 12:00:00.0,Intermediário
"2,53153",2010-02-12 12:30:00.0,Intermediário
"2,54776",2010-02-12 13:00:00.0,Intermediário
"2,53499",2010-02-12 13:30:00.0,Intermediário
"2,53347",2010-02-12 14:00:00.0,Intermediário
"2,53394",2010-02-12 14:30:00.0,Intermediário
"2,5397",2010-02-12 15:00:00.0,Intermediário
"2,53382",2010-02-12 15:30:00.0,Intermediário
"2,53636",2010-02-12 16:00:00.0,Intermediário
"2,5295",2010-02-12 16:30:00.0,Fechamento Interbancário
